店舗名,住所,lat,lng
焼肉ホルモン たけ田 古淵店,神奈川県相模原市南区古淵1-8-12,35.5562397,139.4203898
新高島 de 焼肉DOURAKU,神奈川県横浜市西区みなとみらい5-1-2,35.46132480000001,139.6273607
焼肉 煉 鹿児島県直送黒毛和牛,神奈川県横浜市港北区日吉本町1-16-20,35.5538796,139.6441019
焼肉 牛勢‐GYUSE‐本厚木店,神奈川県厚木市中町3-4-16,35.4401865,139.3624926
焼肉ジンギスカン 五坪 藤沢店,神奈川県藤沢市南藤沢2-10,35.33825970000001,139.4890546
馬車道 de 焼肉DOURAKU,神奈川県横浜市中区北仲通5-57-2,35.4515357,139.6359149
個室 横浜焼肉 輪屋（わっかや）,神奈川県横浜市港北区新横浜2-6-17,35.5085081,139.6146696
焼肉カルビランド 東戸塚駅前店,神奈川県横浜市戸塚区品濃町539-7,35.4309168,139.557103
焼肉・ホルモン ひょうたん 弥生町店,神奈川県横浜市中区弥生町2-15-1,35.4406131,139.6298679
焼肉本舗 我家 阪東橋・真金町店,神奈川県横浜市南区真金町1-7,35.4362942,139.630854
焼肉大昌園 きんとき GEMS川崎店,神奈川県川崎市川崎区砂子2-4-14,35.5302589,139.700852
炭火焼肉眞横須賀中央店,神奈川県横須賀市大滝町2-13-9,35.2809079,139.6705395
接待×個室×焼肉うし極 関内馬車道,神奈川県横浜市中区住吉町2-24-2,35.4457976,139.6380062
高コスパ焼肉焼肉市場げんかや 港北店,神奈川県横浜市都筑区牛久保西1-1-16,35.558254,139.5787658
焼肉たまい 名物 金運カルビ 100円 溝の口,神奈川県川崎市高津区溝口2-7-11,35.6002105,139.6097873
韓国焼肉 庭,神奈川県横浜市中区福富町仲通38,35.444743,139.6308042
炭火焼肉眞津久井浜本店,神奈川県横須賀市津久井2-2-20,35.1975169,139.6690614
炭火焼肉 快平塚豊田店,神奈川県平塚市南豊田55-1,35.3560752,139.3274118
炭火焼肉 快小田原駅前店,神奈川県小田原市栄町2-7-2,35.2556496,139.1576878
焼肉どうらく みなとみらい別邸 横浜コネクトスクエア店,神奈川県横浜市西区みなとみらい3-3-3,35.457165,139.629091
和牛焼肉 匠家,神奈川県横浜市中区真砂町3-31,35.4451653,139.6360293
七輪焼肉 安安湘南台店,神奈川県藤沢市亀井野365-1,35.38988200000001,139.472522
七輪焼肉 安安横浜北口店,神奈川県横浜市神奈川区鶴屋町2-20-1,35.4695046,139.6222187
七輪焼肉 安安日ノ出町店,神奈川県横浜市中区日ノ出町1-2,35.4459608,139.6272184
七輪焼肉 安安本厚木店,神奈川県厚木市中町2-7-23,35.4414733,139.3645301
七輪焼肉 安安川崎仲見世店,神奈川県川崎市川崎区砂子2-7-11,35.5287552,139.7007044
七輪焼肉 安安茅ヶ崎店,神奈川県茅ヶ崎市新栄町7-2,35.3308352,139.4041678
七輪焼肉 安安追浜店,神奈川県横須賀市追浜町3-8-5,35.3157381,139.6256248
七輪焼肉 安安溝の口店,神奈川県川崎市高津区久本3-1-1,35.5983607,139.6126663
七輪焼肉 安安南林間店,神奈川県大和市南林間1-7-12,35.4951358,139.4475835
七輪焼肉 安安つきみ野店,神奈川県大和市下鶴間2076-3,35.50552,139.463876
